Date,Sharpe,HRP,Sortino,SPY
2024-04-22,135998.82783192274,127422.07433063722,133813.69978887055,133630.42395182335
2024-04-23,139043.4225239976,128292.53256238165,136921.70621830013,135216.16393650905
2024-04-24,137189.74133248095,128306.09811558352,135651.35840835836,135151.98935355607
2024-04-25,134600.93370293832,127937.71882594387,133119.06197643586,134638.55089327798
2024-04-26,137557.09323804997,128637.33760380745,136099.23226052415,135914.10954735882
2024-04-29,136780.42564121878,128240.83935580241,135705.82246464197,136395.4398178333
2024-04-30,137295.92509975593,126945.18626792816,136204.22493991445,134234.7617757892
2024-05-01,136372.82916409223,126629.80896584612,135226.96046639126,133798.89790582028
2024-05-02,137265.49390268206,127316.94091941812,135676.2108053118,135050.3733277157
2024-05-03,138713.13257026757,128136.62313607775,137069.78873735384,136724.36276820896
2024-05-06,142758.21662307554,129623.59857360384,141176.8420249824,138136.29554581398
2024-05-07,142971.22034989562,130334.83245793835,141352.59828477463,138288.71122524366
2024-05-08,143266.53181368072,130750.69725916331,141795.6122233168,138302.07779527645
2024-05-09,142953.2810133239,131567.39865107212,141303.65589462785,139098.96444609383
2024-05-10,143137.9116573061,132027.231130584,141459.9974541125,139278.12998425085
2024-05-13,142637.5953474816,131932.7244605867,141016.55276560324,139296.83816669823
2024-05-14,143836.67538945345,132480.00619516592,142512.66216006025,139935.97588500218
2024-05-15,147328.20708522914,134065.3145512615,146041.12807726872,141668.77321804126
2024-05-16,145860.7239851128,133717.21666780146,144413.6876748824,141377.30006988382
2024-05-17,145208.50828486873,134405.15565710366,143760.18937298394,141580.54884022623
2024-05-20,146173.71817848014,133533.80050004285,144623.01963041545,141743.656103816
2024-05-21,147068.3545303828,133946.73659129674,145699.2982322955,142091.27051797736
2024-05-22,146893.53282467276,133355.28171369652,145536.9756387646,141682.1648660666
2024-05-23,149941.4520541678,131910.77924017172,147944.4924296026,140647.29642521555
2024-05-24,151889.1641267305,132427.4460494556,150037.45253648487,141577.87385435353
2024-05-28,154662.90633869398,132007.2366273618,152198.49853569124,141676.81489432117
2024-05-29,154116.76987542812,130966.59327308393,151720.51520790617,140684.69607144868
2024-05-30,151995.88595185333,131009.36818544731,149836.8711979233,139751.4603750997
2024-05-31,152375.19274194792,132340.92533680954,149764.4707263503,141024.335683977
2024-06-03,155470.5706591378,132156.70335148304,152529.94040830334,141139.32663918103
2024-06-04,156056.60371363082,132015.56242498528,153007.57555676473,141297.08393102532
2024-06-05,159846.64483183183,132905.32433908794,156871.51310462016,142976.4400619258
2024-06-06,159613.79514643113,133300.21766715194,156685.8971885887,142973.73163872963
2024-06-07,159836.77012196044,133469.7925879644,157260.27058259223,142799.92443164895
2024-06-10,161720.92610442743,133408.59784444404,159202.0357883474,143241.1299140325
2024-06-11,162077.7660780437,133866.89085658622,159619.9357507621,143586.11949830627
2024-06-12,163702.5300200264,133715.3254638986,161351.57339313228,144765.38702029968
2024-06-13,165882.56955267893,134520.16759460384,164629.98029436238,145056.9103244422
2024-06-14,166506.16313339813,134503.32714138794,165403.96688232262,145145.1347022572
2024-06-17,166897.6239986307,135199.99478510255,166739.89153605618,146300.32735139603
2024-06-18,167834.16201119433,135132.54199275997,167308.3347544417,146672.03335707367
2024-06-20,166478.2321906117,135605.21952024638,165621.7535299879,146273.57749266873
2024-06-21,164261.4499424473,134970.76628877927,163290.52053916393,146077.48430953585
2024-06-24,162382.15177132742,135902.3042242541,161365.48519049204,145602.65759846443
2024-06-25,166621.01239600088,135772.35717437477,165146.7837756143,146163.33463738882
2024-06-26,166993.72528257297,136070.85455394545,165701.8294299463,146345.73523658566
2024-06-27,167168.3528301934,135804.67956606712,166023.2855573852,146576.4694867704
2024-06-28,165968.27280307392,135696.99193084994,164736.53688117757,145999.6756579628
2024-07-01,166691.50407970083,136176.81963966435,166115.8535239856,146300.160164779
2024-07-02,166589.77265311164,137349.67260352682,166607.75469578052,147284.70543389927
2024-07-03,168178.158936432,137430.98593581998,168508.22788100113,147941.98290015265
2024-07-05,170628.6216130778,138356.41246198566,171157.8747819076,148795.10276961335
2024-07-08,170702.40047338602,137858.7650472325,171433.72013651993,148966.78670665756
2024-07-09,172391.8611565124,137965.31733859895,173134.08988617713,149111.63719166594
2024-07-10,174696.89772960966,138864.54427105407,175153.88613607755,150587.15939906426
2024-07-11,169989.7910666973,138342.8497188783,170215.95962424786,149288.704537779
2024-07-12,170263.26479482188,139164.11103849908,170348.82313928247,150230.3497209654
2024-07-15,170348.8801720193,140976.48168552035,170578.02559755172,150643.51800767038
2024-07-16,169531.8939917843,142250.34188832805,169399.58450180182,151536.8629771923
2024-07-17,163018.26172877869,142415.0559773362,162068.29905153142,149412.10497982046
2024-07-18,162592.21317800813,140688.15555869954,161396.94853867742,148263.90073127416
2024-07-19,161638.4651967476,139468.83286287636,160513.2593396766,147279.33874349215
2024-07-22,164879.91496963808,140079.86041485847,163917.23300468482,148797.7944741478
2024-07-23,165131.08783798572,139738.5064728987,164535.90166040702,148564.40195675206
2024-07-24,158489.74002052948,136984.44084857884,157038.07816679502,145197.56442536277
2024-07-25,155388.68754368933,136322.05494375277,153735.73651995958,144441.01154590765
2024-07-26,156485.1592147707,137791.1273668817,154814.21701061394,146058.69253377995
2024-07-29,156044.98024903747,137870.76203471795,154649.3202733576,146144.55958029462
2024-07-30,152523.55378353456,138437.2917436846,150945.07604811058,145404.1234907227
2024-07-31,159513.4032716567,139691.3532570251,158127.62450016514,147767.57382125064
2024-08-01,159345.66313020632,138354.70477129339,157611.27115876542,145675.09955963033
2024-08-02,156330.91284988634,137103.25275519647,153957.64218929905,142962.8310712983
2024-08-05,150230.9922386257,132625.4148407907,148289.57813456413,138799.2322790544
2024-08-06,154044.0020195069,133861.00289053345,152156.66839932284,140078.89536458376
2024-08-07,150674.1127651387,133720.95214208006,148435.0074068608,139142.6252311354
2024-08-08,158516.35698351878,136529.06917336799,156707.0598415954,142359.2037904549
2024-08-09,161182.88771835223,137491.15827453267,159788.81779760675,142986.9728187997
2024-08-12,162523.8458935644,137588.28555203063,160683.3696226033,143062.12320316173
2024-08-13,167714.03569462703,139000.989588214,166063.2531847277,145414.82343421364
2024-08-14,169524.69639312694,140012.456035018,167735.03117862775,145873.583511387
2024-08-15,172754.46649966168,141724.34731241807,171342.69568695818,148373.92624395192
2024-08-16,172180.11874184938,141963.72454312514,170732.15778260367,148706.56073722598
2024-08-19,174450.70871514885,142633.9489486821,172844.24153054119,150128.38260322926
2024-08-20,174344.51584925695,142535.76130137237,173104.09943696656,149884.27342368086
2024-08-21,175429.48801331373,142304.70234796414,174207.08665275536,150399.35867213688
2024-08-22,173450.55167063425,142142.4102986284,172130.7222895525,149218.95428114754
2024-08-23,175514.9788625399,143172.3784941648,174075.16732163832,150804.45184523857
2024-08-26,173908.8831328601,143366.47877877418,171956.2688800823,150444.96718126695
2024-08-27,174547.83718453665,143929.19627669093,172620.71465293277,150651.5262466269
2024-08-28,172970.95400472617,143511.75958599543,171034.74581389735,149776.97305286094
2024-08-29,170282.42449122504,144621.09873117687,168688.55868415398,149790.39813820968
2024-08-30,172405.23006278984,146043.49442946105,171334.2934502388,151220.29511781625
2024-09-03,166778.5690511676,144659.83222175995,165802.48096800866,148108.3168654514
2024-09-04,165721.93375692243,144617.33126499964,165083.4318573905,147805.15737276248
2024-09-05,164839.00234945765,143098.6691194585,164187.0451759368,147445.67270879087
2024-09-06,160592.79234468483,140966.76748783575,158855.32566602493,144964.15518930525
2024-09-09,163001.11127292374,142337.6308776751,161307.31326362968,146587.20286758468
2024-09-10,163320.35943695434,141684.75156392698,162110.60848006632,147225.70527674386
2024-09-11,168260.03165040346,142101.91567961793,167336.02314962572,148736.0691751345
2024-09-12,171156.1788500933,143012.84757588114,170444.36287624578,149988.9155272897
2024-09-13,170809.80282089335,143188.885210646,170150.72419798226,150772.26842145724
2024-09-16,170699.76359221103,143698.35132455366,169936.0172763749,150994.92755803865
2024-09-17,169792.86883630042,144080.57340997405,169024.05869035804,151056.6361383902
2024-09-18,169079.67245781346,143944.25097806045,168315.68532946828,150608.62616069292
2024-09-19,173347.23632213756,145328.56773214176,172936.28890832086,153178.6857125659
2024-09-20,173106.12521091796,145149.8775998284,173089.44182739683,152913.87882982724
2024-09-23,173469.6681483809,145647.7357903369,173596.55694228163,153296.00056174683
2024-09-24,175218.4943919935,144323.21954343218,175211.41472076924,153734.6313702279
2024-09-25,176345.16102916322,143533.55244510577,176332.22170053932,153395.57691085926
2024-09-26,175780.06690004864,143573.6273706586,175921.40899432122,154003.73494902463
2024-09-27,173671.3312421936,144210.21220380891,173358.51879291545,153780.3736286516
2024-09-30,174716.36373966304,145088.4047990004,174324.9608440866,154396.5900617586
2024-10-01,173163.00745076535,144633.76478741196,172483.86316053252,153013.43846027798
2024-10-02,174157.68180816885,145053.80789502955,173255.43183385342,153078.0393691044
2024-10-03,176096.16495819786,144777.90849523345,174718.40480499162,152798.16897216992
2024-10-04,178457.5005837659,146608.3759590129,177399.35665436016,154186.68726405772
2024-10-07,178524.98756004282,144841.22453731098,177141.833980587,152792.78556310106
2024-10-08,181724.20712216088,145319.45524178006,180650.56758761333,154237.82965021196
2024-10-09,182221.30982163368,146437.7069918604,181397.1075009346,155306.16885179555
2024-10-10,182235.1711927046,146545.47011899838,181022.986866365,155034.37356846436
2024-10-11,183887.37168395525,147652.14959527506,182374.1482180487,155962.7274155956
2024-10-14,185245.96275662052,148415.28916876166,183435.61198650888,157238.29442900734
2024-10-15,180697.76345358256,146530.01163118705,179718.98787606272,156016.57822494605
2024-10-16,181961.3947639607,147842.09814641892,180619.16033619252,156694.68714368332
2024-10-17,182409.33088527157,148099.85477387183,181371.41972703472,156708.14566635547
2024-10-18,182893.16248279647,148320.3328157104,181684.05848967232,157310.95373277535
2024-10-21,184143.49763258698,147862.7458624139,182404.28106596912,157052.60025345467
2024-10-22,184859.26995745412,147821.4736891031,183085.67713827168,156969.17413154888
2024-10-23,181270.5409712093,146523.6900036195,179397.3931427444,155534.8968625757
2024-10-24,181178.70750957134,146053.4600107004,179975.38027105384,155871.25961740987
2024-10-25,182192.58070220856,145986.17478562615,181046.75986150024,155817.40880805947
